run,best,mean
1,-0.18273721046360808,-0.7402412205102379
2,-0.2324008880168409,-1.215559761809255
3,-0.265669576921064,-1.137474698508551
4,-0.1703293428826857,-0.8624005011546698
5,-0.156972238820887,-0.8160853323952412
6,-0.21750648516087998,-1.0375005913369408
7,-0.3206479616172726,-1.3067779366900643
8,-0.29141637243250523,-1.1152929187691416
9,-0.15422344724795933,-1.1591182216373181
10,-0.321036666069638,-0.9606085551322107
11,-0.13711801531138645,-0.8338128107487398
12,-0.08814918545672477,-0.9069262525185391
13,-0.07013215926555835,-0.8416575650863681
14,-0.29409107704030146,-1.2709358839511373
15,-0.2649308117952184,-1.3461201354062373
16,-0.09121311733825867,-0.90361826049028
17,-0.314359731715488,-1.0130348387350525
18,-0.12350473575730626,-0.8008961264389113
19,-0.2021838542439296,-0.8871900349968573
20,-0.2916037930065553,-1.0841878779372893
