run,best,mean
1,-0.580850542619787,-2.2209130253850757
2,-0.38289751292825885,-1.8062279839141262
3,-0.20101449387285136,-1.8471562030771222
4,-0.284783030195439,-1.879430169188441
5,-0.18927143311605066,-1.6817509845593959
6,-0.2571980264025735,-1.865337807450329
7,-0.36235750522796234,-1.8523068091398096
8,-0.43346104176672795,-1.839991741278292
9,-0.2775742305778551,-1.5712603330526704
10,-0.3623726002850135,-1.999599810398357
11,-0.19936972590602836,-1.489825730456689
12,-0.1768434160127856,-1.8744607744526476
13,-0.2210467298312835,-1.97774756424584
14,-0.30639161206778254,-2.1643296862952424
15,-0.3457042573064993,-2.6597370353338916
16,-0.6005063709247981,-2.460029590130834
17,-0.5768798905237499,-1.4680516915828024
18,-0.6186862356390319,-2.2734445431223405
19,-0.47722686546912385,-2.298219044074426
20,-0.3586325624549075,-1.6476566862872493
