run,best,mean
1,-28.12791890607928,-28.599693126258344
2,-30.12698357542841,-30.126983575428415
3,-20.855752495131586,-20.855752495131586
4,-25.39885086853744,-25.524013070801765
5,-34.11449568844686,-34.11673564822665
6,-32.39065228035324,-36.78526130959627
7,-26.867033996288647,-29.57166722398683
8,-29.033489446641163,-34.19746703552488
9,-38.218654317972366,-38.228936518923554
10,-17.20298910428219,-18.226017962946017
11,-47.2790807365097,-47.279080736509705
12,-27.90230871852954,-27.94522917448036
13,-33.9321618356145,-34.080539041281725
14,-20.82815268415022,-21.453162405329298
15,-21.738405778923823,-22.619565428260646
16,-37.42247701145967,-42.81127652244742
17,-23.952084358211394,-23.9546353119319
18,-41.58885165854802,-42.53087952904295
19,-22.08781074509661,-32.93413731538201
20,-31.647872273792615,-31.64818170401606
