run,best,mean
1,-0.0008390021234159868,-2.0247156146452308
2,-0.00043307397044031114,-0.8400521868286507
3,-0.0011834339119924395,-2.2397694522595986
4,-0.00019884437275806402,-0.7921525499561294
5,-0.0003032694907883468,-1.7804071262564514
6,-0.003865944626712445,-3.418359512688994
7,-0.0003331239904274769,-1.3333697549227632
8,-0.00015614073941381453,-0.5857708305060397
9,-0.0005721672999149625,-1.465808959133006
10,-0.000122233739410058,-0.5018992133597344
11,-0.00037751428508012386,-1.363697060302193
12,-0.00033029448767177847,-0.9845072476971156
13,-0.0008593926321849184,-2.4772812252275513
14,-0.0003203232867631653,-1.7630727456237973
15,-0.00013074584860108524,-0.7263435539210095
16,-0.0003118085764746871,-1.6121139008854215
17,-0.00021971697394493916,-0.6325553746554544
18,-0.00024149578577011647,-0.7380077536155186
19,-0.0018367290284871057,-2.4992287766502903
20,-0.00030864623380739926,-1.208430794863368
