Epoch,Best,Avg,Std
1,12131.59520547624,20725.19846659447,6347.302481644554
2,10696.559483236448,13359.391652662813,1380.2006751496192
3,10502.385102530448,10926.644287216968,845.9919699017476
4,10410.34609121108,11010.449498201926,1437.206231053623
5,9444.606042815974,10529.51291887884,745.1330679248616
6,9183.730750627641,10183.805868187535,1046.8147080718268
7,8562.452211796446,9969.472943669083,1875.149592962355
8,8562.452211796446,9656.573264517116,3504.420145630597
9,8248.200844798708,8909.506951543042,1857.3273001167836
10,8236.439134506178,8960.142991953167,2191.135680526391
11,8236.439134506178,8607.336406531009,1458.403204757916
12,7889.92512430451,8759.17498015696,1975.9333057902866
13,7889.92512430451,9242.693777831133,2677.257516424198
14,7841.786211653683,8426.083323397943,1780.7596929727222
15,7841.523658451171,8237.118484305607,1381.2756177603699
16,7841.523658451171,8198.943040125318,1398.6315130842665
17,7841.523658451171,8577.120566020143,2285.390377311499
18,7834.909710658178,8209.407754958276,1434.7771401734592
19,7458.026036919773,7852.7633697188,164.10370266518342
20,7452.475341648843,7894.4617650597975,993.7839740469377
21,7452.475341648843,7715.262648668622,1237.1674276877886
22,7452.475341648843,8172.627285311659,2197.65394785805
23,7452.475341648843,8227.588346733135,3615.8400253027044
24,7452.426356239766,7837.836113053382,1186.9502112409932
25,7452.426356239766,7774.804119041875,1475.7221930248832
26,7452.426356239766,8175.776090315734,2778.6416509334554
27,7451.680371584656,7960.065132443409,1829.8091242297962
28,7451.680371584656,8225.001240662046,1883.834316569747
29,7451.680371584656,8261.635767244827,3119.6702635130405
30,7451.680371584656,7599.230055225162,679.4979714683745
31,7451.680371584656,8209.23563229293,2571.582397963056
32,7393.1047092339095,7744.368473910233,1440.6244542740303
33,7197.442467179088,8115.0335901087,1706.5410738591977
34,7197.442467179088,7884.8918277280045,1963.6880187240117
35,7186.870721151277,7524.61838827578,1552.7801763658547
36,7186.870721151277,8287.550792501776,2531.826999025971
37,7186.242279635288,7484.654546591886,1279.591447610666
38,7186.242279635288,7500.3986348826265,1819.453273254682
39,7150.576268620278,7479.808603869668,1097.068983077103
40,7150.576268620278,7942.1429858246,2430.4456561764628
41,7150.576268620278,7899.615241910817,2253.739811924531
42,7150.576268620278,8683.859526516853,4168.822437509715
43,7147.968226039114,7814.549345511228,2008.2054785647208
44,6716.510851511519,7268.811344417694,899.4913657685196
45,6713.911270976223,7197.110255862282,906.2164712770312
46,6713.911270976223,6865.869892231464,1063.710348786677
47,6671.8456436378465,7504.6043877945185,3689.1189022301596
48,6669.236869014942,7622.035214660929,3180.092932062628
49,6668.70461595061,7180.763734715043,2037.2075683094317
50,6666.087470874019,7010.451414906605,1695.73252120094
51,6666.064552352422,7527.861669218185,3467.3694099420172
52,6645.6630720000285,7145.645897716828,1643.4075746995595
53,6645.6630720000285,7285.633513132113,1913.3101047213604
54,6645.6630720000285,7557.6673596103265,2484.597779664258
55,6645.6630720000285,6982.8026684475135,1632.2081931802347
56,6645.6630720000285,6863.323248643804,768.6976443706856
57,6645.6630720000285,7395.188569444007,2485.869732921116
58,6601.044445511353,6831.91083677723,813.1860939802016
59,6548.98939046538,7678.106578493341,2625.569537071827
60,6548.98939046538,7336.572365512844,1777.292932351291
61,6268.2217160480395,6803.239575173243,998.4440831684742
62,6268.2217160480395,6865.179464202162,1547.1733781543765
63,6268.2217160480395,6757.552648456914,2202.0850628778708
64,6235.2711052569675,7351.670742294299,2516.5408912563134
65,6221.334626573663,6753.7265035982155,1800.857728928694
66,5776.666833538651,6559.959472866689,1289.5152631580086
67,5642.757227919457,6495.546646841339,2539.6299312507476
68,5641.678077333248,6333.217246152283,2617.2359173154086
69,5641.678077333248,6433.958405891255,2346.9144676334936
70,5641.678077333248,6336.312383415386,1965.2402254691276
71,5589.131086738087,6340.706123685037,1952.649266833433
72,5586.51749969319,6370.598557632965,2735.0430397385185
73,5586.51749969319,6175.290000046089,2157.0958814686433
74,5586.51749969319,6265.412926818175,2350.8106931325274
75,5586.51749969319,5905.429060569815,1298.860103620469
76,5586.51749969319,5962.7107374713,1381.6998222273533
77,5579.73169547385,6056.274017995628,1891.952355964592
78,5579.73169547385,5964.219359490235,1756.9743033980867
79,5579.73169547385,6250.2697200523535,2173.2468661653434
80,5574.559951230265,6644.455771977086,4155.08771687377
81,5573.154655741803,6056.069142595163,2101.9591344339256
82,5573.154655741803,6582.204202807255,2611.191731440438
83,5573.154655741803,5928.738890956913,1596.2365421422562
84,5573.154655741803,6057.536808524555,2043.597855652778
85,5573.154655741803,5983.732892291397,1561.2196200463136
86,5573.154655741803,6030.431286850843,1683.0498446947418
87,5573.154655741803,6183.316778575286,1979.4535044629406
88,5573.154655741803,5771.813787252958,1015.022271994824
89,5573.154655741803,6045.858775783668,1655.0947826576107
90,5563.080828486996,6893.220434198492,3410.3815234367685
91,5373.263044137881,6596.644173525228,3111.0422150203494
92,5372.19968175031,6475.017547938391,2991.506119699908
93,5372.19968175031,6583.184963964346,3302.986158801246
94,5372.19968175031,5569.962344238388,1108.5788047793042
95,5372.19968175031,5757.3443639950165,1692.0362750395207
96,5372.19968175031,6476.854979341387,3411.7809526397023
97,5371.42132908528,6597.239567053455,3495.9500897423063
98,5371.42132908528,6432.349934870889,3252.5468474255968
99,5371.277305657313,6109.9438956515305,2274.575746383897
100,5370.280550304213,5706.048379921371,1345.1794852844903
101,5370.136706671847,6223.630327479112,2720.3920699188407
102,5369.609540136376,5858.3755684950565,1670.4976320996504
103,5369.2653549830775,6102.915889110409,2266.123263901133
104,5369.2653549830775,6118.632257425988,2353.776677474345
105,5369.2653549830775,5758.541855177132,1864.6500359229728
106,5366.961894518029,5582.430836063002,1209.9991821622928
107,5366.961894518029,6052.994279123148,1996.8619176770887
108,5350.898828183362,6325.795545693455,3059.4162812535988
109,5347.706872966801,5649.937188751292,1354.8882645020803
110,5346.1694478239515,6331.666943014523,3002.646385030075
111,5346.1694478239515,6388.667754436836,3527.133317154256
112,5337.316448464742,5601.059816104735,1023.7093771659017
113,5337.316448464742,5726.714939359811,1949.2815308097643
114,5337.316448464742,6273.869794789952,3292.147171511912
115,5308.599253914689,5851.868597362179,1923.518345352412
116,5308.599253914689,5416.374588467787,646.5520058305425
117,5308.599253914689,6203.567507420386,2220.199915728945
118,5307.429193063797,6377.897291724504,3263.9591892136555
119,5307.05407103265,5581.515017202243,1060.905287888038
120,5307.05407103265,5756.96222557399,1666.5899817096822
121,5307.05407103265,6168.565335792474,2578.4738358982027
122,5292.588577347424,5692.483127799843,1471.049380736779
123,5292.588577347424,6693.734658822647,3887.002557487641
124,5270.739343933657,6606.211350700655,3199.8701435523553
125,5270.552229286817,5986.8380899283065,2308.5913773013604
126,5270.552229286817,6365.991663058127,2826.810323449915
127,5270.552229286817,6275.16299363061,2472.007440900308
128,5267.387320119562,5741.465239877824,1421.0124693124067
129,5249.926612538481,5548.634143090056,1221.399386106031
130,5244.043783766378,6663.015013203242,3708.385400211132
131,5244.043783766378,5934.508907643977,2209.782278338581
132,5244.043783766378,5778.046360015843,1931.0576060731087
133,5244.043783766378,5559.214196162777,1124.2738535289402
134,5235.5215009461035,5684.124454390753,1775.137495368411
135,5235.5215009461035,5971.34113641909,2128.6086959553886
136,5194.811764045574,5940.163568091177,3262.8075720292472
137,5194.811764045574,6266.203027846833,3144.3302550863536
138,5193.913588490148,6138.221744823584,2933.410853778055
139,5193.913588490148,6032.617421009253,2812.4043723009995
140,5193.913588490148,6267.104511894209,3168.224079374109
141,5193.913588490148,5818.666057232207,1739.5948104170454
142,5193.913588490148,6023.002678385449,2529.6238985338055
143,5193.913588490148,5414.6896628223,1020.9615054397159
144,5193.913588490148,5701.208809877027,1725.1058936309119
145,5193.913588490148,6068.06439094854,3930.64537023273
146,4827.594373811207,5768.85988468203,2204.511990120946
147,4827.594373811207,6188.529387445422,3743.5472894585896
148,4827.594373811207,6045.628510463463,3364.0138435763133
149,4827.594373811207,5790.16671709062,4204.813003037541
150,4827.594373811207,5060.4989603033155,973.644015823606
151,4827.5427991768565,5706.873880207033,3165.533796231962
152,4827.5427991768565,5424.121986727052,1895.320234207159
153,4827.5427991768565,5525.471196512384,2744.657724139451
154,4796.253734487413,5907.567514646449,3660.5958811724054
155,4796.253734487413,5581.891661030087,2284.604394366701
156,4796.253734487413,5443.333925547648,2316.245828142902
157,4796.253734487413,6230.653241210799,4368.710947321134
158,4796.253734487413,6298.512889854263,3303.0851151474963
159,4796.253734487413,5266.474633950697,1855.7961336164612
160,4796.253734487413,4931.257219692953,945.0243964387853
161,4796.253734487413,5963.995691304053,3931.549432032691
162,4796.253734487413,5643.28495882427,2766.3209749548846
163,4704.452050346565,5390.76425386285,1735.8526342471416
164,4704.452050346565,5742.331150611289,4706.272703547251
165,4704.0668234291725,5556.869804224169,2983.5313763022896
166,4704.0668234291725,5048.493723617257,2026.0364890806393
167,4704.0668234291725,5182.129949597375,1903.3359775877818
168,4704.0668234291725,5325.357019835036,2376.8230855500265
169,4704.0668234291725,5236.592953406655,2099.5412767675343
170,4699.046490008415,6154.844984562249,4168.018654766686
171,4698.25337656072,5035.4112209832265,1635.5824592131728
172,4698.25337656072,5590.044446689068,2861.444788579522
173,4698.25337656072,5485.388312260752,2373.946812843313
174,4694.694226274691,5420.486098182638,2482.8523118064027
175,4694.694226274691,4838.255669298815,590.7869032179077
176,4692.345466175814,5403.962085128889,2373.7349681265287
177,4692.345466175814,5725.7042750235,4038.3815723453845
178,4692.345466175814,5792.286754519062,3406.792855238763
179,4692.345466175814,5312.595808525669,2439.022062054822
180,4675.171784440305,5720.813743546451,4839.98561863234
181,4675.171784440305,5223.775999625181,2032.763983987548
182,4675.171784440305,4927.83808243826,1178.9627840993296
183,4667.952604004797,5003.159344074875,1108.745591138559
184,4667.952604004797,5235.5201845755355,1918.8869847830383
185,4667.738545249797,5696.081826542453,3162.0328185856297
186,4667.738545249797,5016.488190622485,1253.7954300859446
187,4667.738545249797,5438.146825502248,2724.5506853352053
188,4667.738545249797,5375.591030394288,2418.129903082148
189,4667.738545249797,5230.370372568025,2141.1716183823405
190,4667.717290369477,5075.135079815338,1612.5250747367206
191,4667.717290369477,5165.171101412779,1878.280693339625
192,4667.717290369477,5659.127293952659,3005.0366857797108
193,4667.717290369477,5207.577464988396,1955.1440360596748
194,4667.717290369477,5464.28544150166,3478.637622883717
195,4667.717290369477,5152.865788679149,1549.1541434564713
196,4667.681982068447,5313.155900794796,1873.976187267282
197,4655.872031060096,5378.690811409255,2051.662551447431
198,4655.872031060096,5238.84310506782,2376.8283024583293
199,4655.872031060096,5535.914593204194,2822.891054404008
200,4420.219116879838,5828.1993064994795,3502.3265789317065
201,4403.615756854604,5115.761446238085,2353.6712996570886
202,4402.572295978442,4927.532574908439,1996.1696787877602
203,4402.572295978442,5331.623576089337,2913.2436243081584
204,4402.572295978442,5631.585353334526,3459.1917691977137
205,4400.309251029499,5072.561068803048,2235.6823386252822
206,4355.453329292094,5281.247957073926,2667.233723865734
207,4355.453329292094,4801.105882017523,2021.816276299371
208,4355.453329292094,5593.344402422963,2878.0677286592586
209,4355.453329292094,5834.642332851778,3619.6121050362694
210,4296.233805724021,4946.512603284323,2109.787607737971
211,4288.651417064896,4419.457797035645,640.0750572790527
212,4288.651417064896,4537.848653205242,1313.823436052601
213,4288.651417064896,4648.46220783641,1838.7947959848893
214,4288.651417064896,4737.005970053012,2163.5685867501666
215,4281.610053460342,4768.8253120435975,2034.736047309752
216,4281.610053460342,5098.745802620206,2408.994468567768
217,4281.610053460342,6003.870991205929,4627.290774298837
218,4281.610053460342,4951.485255956317,2060.6786722654465
219,4260.298923950076,4690.940286774252,1696.4912500362675
220,4260.298923950076,5086.384439807193,2971.4116139491
221,4260.298923950076,5716.939567588352,3785.684003560528
222,4260.298923950076,4683.677889396088,1872.3720770682032
223,4259.50385545458,4874.271711133164,2277.159005232649
224,4255.059193801362,5357.1638206015605,2965.224227788553
225,4254.264014503813,4861.620054179785,2596.583837550057
226,4254.264014503813,4703.17808827794,2088.168135355995
227,4250.403079385031,4821.539424310853,2032.6875492571096
