Run,Fitness,Time (s),Solution
1,9.899851205652208,0.0441,"[-2.767702834799609, 0.03503421309872934, -0.8057869012707721, 0.10510263929618713, -1.2562267839687196]"
2,13.852767976424923,0.0473,"[0.7557380254154449, -1.336304985337243, 3.3682893450635385, 0.04504398826979461, 0.38537634408602184]"
3,12.341818343877717,0.0409,"[-1.0260019550342134, -2.5074486803519065, -1.0260019550342134, 1.7366959921798637, 0.96594330400782]"
4,2.1683580063237624,0.0449,"[0.8358162267839688, 0.8258064516129036, -0.7056891495601176, -0.5054936461388069, -0.18518084066471197]"
5,6.655317319634715,0.0431,"[-0.5755620723362656, 0.41540566959921854, 1.1361094819159332, 2.1671163245356793, -0.4053958944281524]"
6,5.155990376568637,0.0447,"[1.6466080156402736, -0.8358162267839688, 0.8558357771260994, -0.925904203323558, -0.3953861192570871]"
7,9.795447391519968,0.0425,"[2.237184750733138, 0.5855718475073317, -0.21521016617790778, 0.29528836754643173, -2.07702834799609]"
8,3.76768015716717,0.0457,"[-1.2161876832844576, -1.0660410557184754, -0.8658455522971655, -0.5255131964809383, 0.35534701857282425]"
9,9.941332183627972,0.0412,"[0.38537634408602184, 2.7576930596285436, 0.47546432062561106, -0.5054936461388069, 1.3062756598240464]"
10,15.771313305603567,0.0407,"[1.0960703812316712, 2.3873313782991206, 0.04504398826979461, -0.5955816226783961, 2.9178494623655906]"
