Epoch,Best,Avg,Std
1,11093.618477433518,20535.34546261265,6828.457638994725
2,10040.840441879787,21506.008356070153,9082.173922417423
3,9171.563473800015,23414.57318556591,11060.035795603297
4,9171.563473800015,25724.68925194385,13333.961611657583
5,7885.714346248951,29617.81908346422,16257.989409185682
6,7885.714346248951,33766.45945587334,19208.979036043234
7,7885.714346248951,37600.531764750194,20813.75940690468
8,7885.714346248951,43470.00052061462,23870.90042070232
9,7885.714346248951,46636.874938778805,23822.440880686823
10,7885.714346248951,48905.355353851184,23947.41273771934
11,7885.714346248951,48922.30015544202,23910.61033341612
12,7885.714346248951,51511.894892542616,24522.13799915552
13,7885.714346248951,55184.96066635655,25443.223477135736
14,7885.714346248951,57520.732211912764,25545.18075064231
15,7885.714346248951,61062.316633365765,26407.635335575396
16,7885.714346248951,62194.80906981938,28141.397358069557
17,7885.714346248951,60873.914410884485,28649.434530248825
18,7885.714346248951,62129.20421536769,29574.366632811
19,7885.714346248951,65939.20049535566,28733.3381998999
20,7885.714346248951,63447.78080285031,30373.157518104792
21,7885.714346248951,66581.04146614482,30027.10120861076
22,7885.714346248951,66635.85165341568,30175.08949319821
23,7885.714346248951,68368.38957106689,29147.237766177128
24,7885.714346248951,69126.92693385514,29297.125146354116
25,7885.714346248951,68597.16097549039,29762.6857670451
26,7885.714346248951,68245.19911216473,31399.687000853493
27,7885.714346248951,69277.62961778922,32430.99780840384
28,7885.714346248951,71531.99444170683,32057.628473829893
29,7885.714346248951,74455.42049645225,32190.444003807763
30,7885.714346248951,76277.46674922037,31867.934724539802
31,7885.714346248951,72449.34969562784,33261.54326585777
32,7885.714346248951,73101.32841702548,32337.132135519565
33,7885.714346248951,75313.70837895936,32050.768125149734
34,7885.714346248951,75103.13233322327,33125.04864076614
35,7885.714346248951,77365.94065503548,32673.924308611815
36,7885.714346248951,76881.61104166119,32724.564810358606
37,7885.714346248951,71723.85391229416,34763.9268048006
38,7885.714346248951,76133.33929157547,33325.06427857543
39,7885.714346248951,77420.04257033148,33147.05000329993
40,7885.714346248951,74278.82764859509,34839.1313298385
41,7885.714346248951,79969.57352135719,34329.964950462876
42,7885.714346248951,79254.90598470223,35862.35241838754
43,7885.714346248951,82320.02363272943,34356.19959783516
44,7885.714346248951,78628.09871061966,35598.613018208336
45,7885.714346248951,78015.89998286834,36083.39753431658
46,7885.714346248951,78963.20364234572,35435.49504906666
47,7885.714346248951,80748.01718537755,34373.417569883604
48,7885.714346248951,81058.36760097816,35288.907265403934
49,7885.714346248951,80571.8217501304,34718.63498951993
50,7885.714346248951,77984.08101326847,36408.96942923164
51,7885.714346248951,80808.87266481537,34805.6568477423
52,7885.714346248951,81711.74661892121,35662.34219970985
53,7885.714346248951,81207.37363058285,34947.257659360424
54,7885.714346248951,80996.04939420152,35311.879054578814
55,7885.714346248951,82436.48215001318,36135.83448061428
56,7885.714346248951,85617.35635150653,34516.02979944054
57,7885.714346248951,83068.89122670934,35327.43749612783
58,7486.102668705462,82465.81239043242,35577.86201203519
59,7486.102668705462,83520.34047253414,35943.24581880986
60,7486.102668705462,81655.29812235449,36581.66353141827
61,7083.911371865633,83640.75992854321,36033.8991683926
62,7083.911371865633,83366.69073843604,35946.820624651504
63,7083.911371865633,84711.38813480406,34616.244771109945
64,7083.911371865633,80891.38618107486,37549.10832249914
65,7083.911371865633,80379.64725277197,37141.65087370696
66,7083.911371865633,80130.16178891281,37391.916499849205
67,7083.911371865633,81401.63393733418,36965.73028854714
68,7083.911371865633,82347.02237115357,36882.054513694064
69,7083.911371865633,81225.27852695611,37898.75402767757
70,7083.911371865633,83546.50925013401,36906.857292407
71,7083.911371865633,83236.69728676963,37016.23922260798
72,7083.911371865633,82312.55580468258,38275.83391623585
73,7083.911371865633,81171.28617108676,38220.348953866
74,7083.911371865633,83318.50295748301,37618.0003874661
75,7083.911371865633,86062.60873184865,38198.58688413611
76,7083.911371865633,88737.67600433875,38067.459472433664
77,7083.911371865633,88565.26573993942,38773.355703220455
78,7083.911371865633,89167.47674506903,38489.82866380067
79,7083.911371865633,90714.26814895304,38572.20787147243
80,7083.911371865633,92455.8925001838,38010.45396574063
81,7083.911371865633,91750.26758845271,38351.14380357547
82,7083.911371865633,88966.1623888616,40614.993787313826
83,7083.911371865633,91573.79037497802,39596.35764907868
84,7083.911371865633,88790.98303458348,41037.35783969619
85,7083.911371865633,94405.18175983736,40470.8892406813
86,7083.911371865633,93559.82283134323,39615.80887551225
87,7083.911371865633,91524.27489723517,41362.45805762169
88,7083.911371865633,90611.72623604917,40721.18521851244
89,7083.911371865633,93134.85172136554,39692.182898648076
90,7083.911371865633,91842.78147364923,39921.926297204845
91,7083.911371865633,88066.88145006669,40049.58382824121
92,7083.911371865633,88352.02342551133,40252.02608839842
93,7083.911371865633,91308.25284794548,39008.50963950512
94,7083.911371865633,94037.94284489713,38203.65183687611
95,7083.911371865633,90350.74780561027,39422.69479143202
96,7083.911371865633,92430.47768589208,39955.20060787997
97,7083.911371865633,92430.53905351376,40309.891323435026
98,7083.911371865633,89804.49533742678,40799.65307295299
99,7083.911371865633,88058.17638017937,40341.65887001243
100,7083.911371865633,91750.92802981411,40044.86662900031
101,7083.911371865633,93374.64452057148,39233.30268435714
102,7083.911371865633,94790.51377368199,39301.70490991024
103,7083.911371865633,92707.47765536373,40650.69339206053
104,7083.911371865633,95015.51827068103,39518.32562027576
105,7083.911371865633,92394.92568022378,39965.5903187185
106,7083.911371865633,90440.96093035361,41776.44610663397
107,7083.911371865633,89533.87381780309,40847.54608558692
108,7083.911371865633,88797.9155058985,42275.52757146463
109,7083.911371865633,89301.59988290619,43045.75199252296
110,7083.911371865633,93157.22840764064,42040.508816605645
111,7083.911371865633,93648.18552768794,41247.475304052925
112,7083.911371865633,94307.69938425219,42605.33689230501
113,7083.911371865633,93472.8087824771,42428.58829287914
114,7083.911371865633,92879.35197270174,44538.88980193852
115,7083.911371865633,94561.82814044319,43237.87811549811
116,7083.911371865633,97591.70951876929,41987.17617307011
117,7073.811534080694,96568.6309385722,44493.778335371106
118,7073.811534080694,95340.81469038108,42923.68332440139
119,7073.811534080694,97820.06855859545,42011.149417778084
120,7073.811534080694,99351.84623485908,41185.633596270716
121,7073.811534080694,97678.7208187922,43192.98706373897
122,7073.811534080694,98079.06200995877,43448.440172882576
123,7073.811534080694,97894.69483216786,43932.936640583306
124,7073.811534080694,97261.62549529003,44603.00610956907
125,7073.811534080694,96101.25240494884,44778.21641019866
126,7073.811534080694,101081.81958019122,41825.37029958916
127,7073.811534080694,98005.0383429491,43849.05332271438
128,7073.811534080694,97999.11944318828,43782.29512165199
129,7073.811534080694,100805.22291556877,41808.32873771672
130,7073.811534080694,99386.34662476328,41894.010566629695
131,7073.811534080694,96397.5048315342,44153.987075985846
132,7073.811534080694,98203.02996677409,43036.38015054844
133,7073.811534080694,99767.10800577134,43869.551847656905
134,7073.811534080694,100144.90047426472,42824.26022137643
135,7073.811534080694,98988.2003399348,43032.67837666242
136,7073.811534080694,97134.6793412287,43190.68136980665
137,7073.811534080694,98591.15034897023,43430.91625221628
138,7073.811534080694,96284.49845339029,44751.580611446094
139,7073.811534080694,96236.59369726875,44014.20852066574
140,7073.811534080694,96056.24785956404,43358.17093764554
141,7073.811534080694,97900.95355668738,43060.85458114486
142,7073.811534080694,97406.03566321472,42632.16485631854
143,7073.811534080694,98856.13646229982,41871.78914950083
144,7073.811534080694,100803.59616847229,40609.48515802419
145,7073.811534080694,95235.61125300694,43975.58919296277
146,7073.811534080694,99327.92874501883,41441.88412908856
147,7073.811534080694,96607.68042778978,42418.58214581494
148,7073.811534080694,97621.89836856058,42070.96890554091
149,7073.811534080694,97505.16241090761,43069.4789549256
150,7073.811534080694,98154.12312436057,42479.781097344254
151,7073.811534080694,99603.62592864076,42451.85336633082
152,7073.811534080694,101273.38965329029,41396.92241235352
