run,best,mean
1,-0.0002819440974120314,-1.445299893380054
2,-3.33623091932188e-05,-1.4891984669788938
3,-5.492969499524604e-05,-2.149889396043352
4,-0.00024421590655476896,-1.5867374743552909
5,-0.0032760299702233025,-2.381446368619589
6,-0.00011179816588994984,-2.2000528555342695
7,-2.523622557871721e-05,-1.941232795447998
8,-0.00019101622775296093,-2.6764355422442194
9,-0.00022180737840132088,-1.718777711441325
10,-0.00031068026672385137,-2.872604574038224
11,-0.00047509498614268874,-2.423701791919846
12,-0.00014372514481558643,-1.7425138357830705
13,-0.0003501725676964004,-2.825281533296488
14,-2.6736167404470324e-05,-1.901935013851691
15,-0.00019818005214682213,-2.1100294098371326
16,-0.0002278006607066223,-3.090559362667797
17,-0.0002699884319082517,-3.0395533666359293
18,-0.001155475960684554,-4.186311398498131
19,-5.592857537946575e-05,-2.4629319314320544
20,-0.0001082333244958394,-2.7404988557490255
