run,best,mean
1,-28.745621954027648,-28.80060293778777
2,-15.360742828103076,-15.360742828103078
3,-28.07062136370273,-28.69068483342485
4,-30.73105034858836,-34.56171963632685
5,-30.866020662176027,-31.964899279796743
6,-14.795189898505868,-21.629472276281277
7,-35.039068658212564,-35.756448030249985
8,-18.297245849918603,-25.352542873228362
9,-24.022066344604283,-28.03969331962661
10,-31.076024279660146,-31.151270767387008
11,-36.81468454779052,-36.9773371315738
12,-33.41381306232858,-35.19726506985961
13,-39.4991378233795,-41.95142279046327
14,-40.48284004239224,-41.15570024410035
15,-22.6665327267588,-26.465907977601912
16,-23.6926298497077,-23.696327656093963
17,-39.21491079638882,-39.307067219013206
18,-23.060030187118894,-23.060030187118898
19,-26.527641418368855,-31.623095439105295
20,-33.76219327793536,-36.24994037264372
