run,best,mean
1,3000.1022846180813,3026.026992024283
2,3000.1625430027384,3023.093340308778
3,3000.2846209392646,3046.2170742232142
4,3000.2998865051777,3043.53384854668
5,3000.1768283277347,3025.2188515995012
