Epoka,Najlepszy,Średnia,Odchylenie std
1,19.961092472353855,43.66552759088377,15.394693073334906
2,19.961092472353855,79.68183359071368,20.75506392073529
3,19.961092472353855,87.93055250324835,25.02589335684087
4,19.961092472353855,98.43032185189709,27.852686614725176
5,19.961092472353855,104.73643246020322,27.436844650321127
6,19.961092472353855,105.36507567946995,27.87866700111844
7,19.961092472353855,104.77575722888903,27.82260249735629
8,19.961092472353855,105.28215780958197,28.57715246877698
9,19.961092472353855,108.53353305109748,30.995664289088886
10,19.961092472353855,113.30348080633026,31.17154800878992
11,19.961092472353855,112.02334977123043,33.232114166181255
12,19.961092472353855,113.99336758351464,30.942063681394835
13,19.961092472353855,108.78455108129829,33.40283214570465
14,19.961092472353855,113.49358392017803,31.046164032432596
15,19.961092472353855,112.53230333578526,31.053715937504027
16,19.961092472353855,111.66016877971275,32.15794708158505
17,19.961092472353855,113.16639719563624,31.558785701348818
18,19.961092472353855,112.18506947580049,31.603209676155988
19,19.961092472353855,114.6722769308753,31.781489342413437
20,19.961092472353855,114.8232556672352,32.62196855373853
21,19.961092472353855,116.80784191961042,32.58369429927047
22,19.961092472353855,116.56578137595805,32.52881889409
23,19.961092472353855,116.24287901522843,32.52339100653675
24,19.961092472353855,116.6285679460999,32.1455619917356
25,19.961092472353855,116.56739652901354,32.33276589084601
26,19.961092472353855,116.34879377899323,32.38389731059022
27,19.961092472353855,116.21019120301875,33.001671273819966
28,19.961092472353855,117.5558020659609,32.3816486306602
29,19.961092472353855,118.87294936314618,32.50044580281472
30,19.961092472353855,115.97140104371688,34.08868388640305
31,19.961092472353855,119.36396390766045,32.60902788641269
32,19.961092472353855,117.572610879645,32.692958357290884
33,19.961092472353855,118.77066568788825,32.70307571014324
34,19.961092472353855,116.08819304170646,34.20873040726184
35,19.961092472353855,119.00191312249923,32.83156648869052
36,19.961092472353855,118.97839120368378,32.70322376701618
37,19.961092472353855,117.83930751717344,32.69236129990647
38,19.961092472353855,117.18444912139081,32.685880355760446
39,19.961092472353855,119.5701744659995,32.68819698427991
40,19.961092472353855,119.44960709784056,32.677629425327346
41,19.961092472353855,117.66307147422384,32.884512211698734
42,19.961092472353855,119.14312479187102,32.703806796284354
43,19.961092472353855,117.18487395073045,33.17577915835961
44,19.961092472353855,118.3796142885596,33.27253150406386
45,19.961092472353855,116.95130197822326,33.09830143394253
46,19.961092472353855,119.51378037507227,32.67019104314226
47,19.961092472353855,118.73137698961806,32.79123088911908
48,19.961092472353855,117.81730055581451,32.580335942652916
49,19.961092472353855,118.7380019226223,32.727846371290084
50,19.961092472353855,117.60879351434694,32.93209747667191
51,19.961092472353855,119.20242856299252,32.775935216041795
52,19.961092472353855,118.0884418701135,32.66276731335912
53,19.961092472353855,118.28571498102392,32.57395856676368
54,19.961092472353855,118.52428471000803,33.07248371177081
55,19.961092472353855,119.66291551241102,32.72622843474345
56,19.961092472353855,120.04821969218244,32.73883391536645
57,19.961092472353855,118.26504663286732,32.56023040596734
58,19.961092472353855,119.31627881819615,32.72573752744131
59,19.961092472353855,118.56928856524377,32.85477892303739
60,19.961092472353855,118.03027231317239,32.78173864711339
61,19.961092472353855,118.3378046690192,32.69226377719722
62,19.961092472353855,119.08007771317182,32.76722582043492
63,19.961092472353855,118.42113935259893,32.761857872208076
64,19.961092472353855,118.86480947268542,32.81656700213463
65,19.961092472353855,118.94304620418927,32.76569328767056
66,19.961092472353855,118.26874585438149,32.68869937133793
67,19.961092472353855,119.78431650795342,32.690767874899876
68,19.961092472353855,118.72713270404547,33.48926295082939
69,19.961092472353855,119.52188820294134,32.77713384149994
70,19.961092472353855,118.58675866988109,32.698767383670685
71,19.961092472353855,119.46611131690378,32.62421149460363
72,19.961092472353855,116.85775936701992,33.805491686302865
73,19.961092472353855,118.44286175845677,32.63829472393354
74,19.961092472353855,119.7550754243485,32.75683797891372
75,19.961092472353855,118.79657226195931,32.97335242650054
76,19.961092472353855,119.06425883200562,32.664355367305554
77,19.961092472353855,118.86554290446993,33.15409820186778
78,19.961092472353855,118.90267940127413,32.6320084308853
79,19.961092472353855,117.3156692856328,33.228871305515995
80,19.961092472353855,117.29326554970194,33.28485218733312
81,19.961092472353855,118.76938719204534,32.75304459144301
82,19.961092472353855,118.96978239781984,32.72093777437855
83,19.961092472353855,119.33309965535213,32.74423021552377
84,19.961092472353855,119.53623220489065,32.7772297755351
85,19.961092472353855,118.08736376546852,32.77913267291446
86,19.961092472353855,119.10867754494335,32.736898145743694
87,19.961092472353855,119.08973656891305,32.821589970080666
88,19.961092472353855,118.57900353052042,32.92586801989499
89,19.961092472353855,118.8156214492365,32.995767185000176
90,19.961092472353855,117.69070942824519,33.29053007022325
91,19.961092472353855,119.14079223832691,32.754821444194214
92,19.961092472353855,118.598305210707,32.83645929199487
93,19.961092472353855,118.88583050935046,32.85610524302731
94,19.961092472353855,118.59431742586781,32.86399293329187
95,19.961092472353855,117.69861285709236,32.74084959405195
96,19.961092472353855,119.74688744000025,32.754033611277855
97,19.961092472353855,119.579709079198,32.824507768099075
98,19.961092472353855,118.2320782729805,32.76403103978059
99,19.961092472353855,119.1337224368632,33.01122233665964
100,19.961092472353855,119.4236243751143,32.673351504896836
