Epoch,Best,Avg,Std
1,11217.818483800882,20536.994980767777,6906.262564067165
2,11217.818483800882,21729.313548029066,7147.573930857521
3,11217.818483800882,22276.049014868273,8011.8528638201815
4,11217.818483800882,23761.03218818182,9154.73741439411
5,9732.30303941103,25202.620654835286,10673.28963063943
6,9732.30303941103,26687.9423695871,10552.521081279217
7,9732.30303941103,29883.129084187913,11640.033519784716
8,9732.30303941103,33315.6467349223,13164.278600177477
9,9732.30303941103,36247.16542663034,14522.929671555688
10,9732.30303941103,39962.58156336519,16024.964984973962
11,9732.30303941103,42747.13917412366,18429.298509114542
12,9732.30303941103,45190.58144738689,20726.583453875915
13,9732.30303941103,50197.38816454852,21575.294462762475
14,9732.30303941103,53360.86921862188,23890.910723150555
15,9732.30303941103,55983.84645841308,26405.269912241067
16,9732.30303941103,61113.68448377885,28069.050729009326
17,9732.30303941103,66531.95464438676,29647.540469010884
18,9732.30303941103,70456.39214745964,33073.906548303305
19,9732.30303941103,73735.74248676607,37204.24864250072
20,9732.30303941103,82075.87445511784,38067.42194883523
21,9732.30303941103,84114.64577351329,40154.899747876545
22,9732.30303941103,89259.27943932149,41038.75766783978
23,9732.30303941103,91832.88196547524,43308.81663556271
24,9732.30303941103,93893.74945459526,45142.95100964474
25,9732.30303941103,99215.36839831283,46856.22096961729
26,9732.30303941103,98321.56640240888,50029.15688677494
27,9732.30303941103,103723.96475233954,50677.5562668807
28,9732.30303941103,103555.08454459898,53133.679377321925
29,9732.30303941103,109314.01190631857,53995.56031893737
30,9732.30303941103,113549.5354783845,53940.47757457879
31,9732.30303941103,108414.81235868664,58194.16971537366
32,9732.30303941103,115353.36826684768,56665.803766541656
33,9732.30303941103,115522.42917700742,58683.455367026574
34,9732.30303941103,119440.43935415722,58578.31511817776
35,9732.30303941103,121272.2011708647,59710.67254793967
36,9732.30303941103,123918.76055461168,60215.22268545632
37,9732.30303941103,126338.32486305217,60898.220963311884
38,9732.30303941103,127861.04378685489,62899.59489660163
39,9732.30303941103,130446.91840352937,62192.57600152173
40,9732.30303941103,130717.21649975955,64777.05332648482
41,9732.30303941103,127503.91384658724,66617.59739262152
42,9732.30303941103,133151.1835520631,66116.29960415496
43,9732.30303941103,136207.45419519953,65778.45367500412
44,9732.30303941103,135629.72073634996,66926.3504113398
45,9732.30303941103,138298.02028881817,67441.42497597601
46,9732.30303941103,137749.88201266245,68310.18070376871
47,9732.30303941103,140062.2001117589,69498.35565695571
48,9732.30303941103,135942.06444308793,70350.05850354784
49,9732.30303941103,140512.53678173496,69451.2368131331
50,9732.30303941103,134602.17978909484,71948.71844304555
51,9732.30303941103,141692.94038603103,69403.01453051662
52,9732.30303941103,140424.97971317082,70264.91644158345
53,9732.30303941103,144281.1016817598,68619.11123783211
54,9732.30303941103,145818.78675135956,70365.53331472601
55,9732.30303941103,143426.74820226958,71456.13685449527
56,9732.30303941103,143579.33140274754,71156.70088718219
57,9732.30303941103,145214.1730667693,71219.29921465491
58,9732.30303941103,142471.32638802606,72318.16005106924
59,9732.30303941103,143253.88664859673,71833.63354359713
60,9732.30303941103,147915.14065469138,70078.813324864
61,9732.30303941103,143023.3011859353,73669.86605203126
62,9732.30303941103,139418.21780754696,74300.46762185756
63,9732.30303941103,144218.21809296607,72002.54246759256
64,9732.30303941103,146731.11663235453,71181.05946512187
65,9732.30303941103,146265.61275715518,70583.92471847437
66,9732.30303941103,145263.54207034508,71026.42965594312
67,9732.30303941103,144950.4290923264,72318.70619062353
68,9732.30303941103,143008.5162391691,72903.4583101707
69,9732.30303941103,147522.6078767214,71352.28136998044
70,9732.30303941103,145969.90180417188,72672.99878781501
71,9732.30303941103,143741.5788640661,73234.59730675163
72,9732.30303941103,148410.84847968217,71446.34449978177
73,9732.30303941103,140546.58471431647,73746.68326704933
74,9732.30303941103,147508.66528195477,70434.24836637007
75,9732.30303941103,145473.0263569033,73276.79297077894
76,9732.30303941103,148555.92023074336,71811.26836001048
77,9732.30303941103,146603.03574664926,73032.1445970766
78,9732.30303941103,146974.70154310972,73210.19373430894
79,9732.30303941103,146273.75785130798,73490.61945552709
80,9732.30303941103,145984.97223475494,72236.47285531276
81,9732.30303941103,146222.47553851176,73582.6008012391
82,9732.30303941103,148717.4945946085,72787.02895338068
83,9732.30303941103,142020.0983037768,73363.80616995813
84,9732.30303941103,147435.74969826074,71652.40279113088
85,9732.30303941103,143821.74368369664,73848.64504637648
86,9732.30303941103,143990.48420758982,72650.4881977501
87,9732.30303941103,148752.4336981031,71541.58169990951
88,9732.30303941103,142635.72804074685,74732.5132049217
89,9732.30303941103,147530.69136720648,72079.81197973377
90,9732.30303941103,148694.64940736213,72127.65487433015
91,9732.30303941103,145959.18900791393,73022.22586165933
92,9732.30303941103,144298.15468233378,73895.85979446559
93,9732.30303941103,147832.1537988746,72987.42563887013
94,9732.30303941103,146369.55930527626,74127.07876670161
95,9732.30303941103,148041.36114909797,73059.82679434388
96,9732.30303941103,145724.23898631716,73396.0260583751
97,9732.30303941103,147820.6823933046,73418.33624385898
98,9732.30303941103,146963.612569746,73024.30261831866
99,9732.30303941103,146377.9107338937,73475.39404518393
100,9732.30303941103,147519.66483401283,72624.21531460443
101,9732.30303941103,144763.6562433269,74063.5162830851
102,9732.30303941103,145435.85389560834,73747.81941674004
103,9732.30303941103,148087.8680267309,74084.07198379961
104,9732.30303941103,148763.29469752152,73756.63914808891
105,9732.30303941103,144429.49031640615,73553.28081920384
106,9732.30303941103,142281.12589135312,74367.60911366217
107,9732.30303941103,148197.09975241648,73325.71303350631
108,9732.30303941103,147662.94141624216,74605.03238018809
109,9732.30303941103,146306.2181284578,75515.85471044041
110,9732.30303941103,151056.72524370093,74489.3071170087
111,9732.30303941103,145453.68372248695,75651.6107055851
112,9732.30303941103,144304.07087078688,75591.96531393619
113,9732.30303941103,146228.6813268162,75753.19987692023
114,9732.30303941103,148249.71043730807,74836.36188255396
115,9732.30303941103,150428.3305099376,74322.54884389539
116,9732.30303941103,147965.6463030141,74981.87152962871
117,9732.30303941103,147992.14855989555,74538.14355205238
118,9732.30303941103,147759.15320856078,74123.45491150912
119,9732.30303941103,148450.38667729287,75332.26590781887
120,9732.30303941103,147045.09043199942,75686.59505910266
121,9732.30303941103,145801.2962889402,74718.59518611847
122,9732.30303941103,148244.98872026583,73832.69713473314
