run,best,mean
1,-24.31799211274246,-24.873399880753222
2,-31.363631658252142,-31.422992565405444
3,-24.406338297179527,-32.620553939379356
4,-32.999054965713924,-33.07654624487437
5,-25.151391292961694,-25.983001642120282
6,-13.299254590555664,-13.88601466512845
7,-35.779353606913666,-36.47665419111992
8,-22.374548275304036,-23.052097482429353
9,-31.358346239960262,-33.68134213281496
10,-27.48029908754536,-29.83159527591878
11,-28.961212499282247,-28.962792903711556
12,-27.28717748773475,-36.22569117125501
13,-31.612473749701838,-31.64909667798911
14,-28.182877379587058,-28.187839364658835
15,-26.358957607593617,-30.811026124934966
16,-28.153430758938477,-29.518843968277054
17,-27.397917703112856,-27.68118420571801
18,-36.68785911038706,-37.107654227804694
19,-35.98298902854322,-39.33100373602212
20,-23.763989172368703,-29.32017657643777
