Run,Fitness,Time (s),Solution
1,1.4026939685532346e-05,0.1137,[ 0.00097075  0.00060313 -0.00204582 -0.00291035  0.0002555 ]
2,8.721772731196016e-07,0.1118,"[ 4.23851533e-04  5.91361215e-04 -3.61690708e-04 -4.58056087e-04
 -4.67281242e-05]"
3,2.785591068213049e-06,0.1174,"[-9.56228763e-05 -1.11979707e-03 -9.50293927e-04 -4.80001976e-04
 -6.23731839e-04]"
4,1.1402552642585295e-06,0.1109,"[ 8.80094421e-05 -8.33980996e-05  2.88962343e-04  1.03934847e-04
 -1.01550612e-03]"
5,6.88191187849335e-05,0.1113,[ 0.00350413 -0.00078085 -0.00038436 -0.00034588  0.00746077]
6,8.888611857385441e-07,0.1137,[0.00013643 0.00038092 0.00054797 0.00048036 0.0004406 ]
7,3.423158266505694e-06,0.1162,"[-3.61083576e-04  9.94001807e-05 -8.60131517e-04 -9.61780562e-05
  1.59179775e-03]"
8,1.1550579399438353e-05,0.1113,[-0.00019235 -0.00077936  0.00145712  0.00215115 -0.00203851]
9,4.512568490712735e-06,0.1189,[ 0.00030797 -0.00075897  0.00135776 -0.00084564  0.00113274]
10,1.0196010231116162e-06,0.1139,[-0.00041909 -0.00015235  0.00043317 -0.00071263  0.00035394]
