run,best,mean
1,0.3013255284599796,1.5563896534014035
2,0.2953316889592621,1.47604961553527
3,0.23936763288620302,1.4209959081720622
4,0.504090509312604,1.3596736492444184
5,0.30415976119922905,2.1807070905499017
6,0.407020841175376,1.7605339485737626
7,0.6157680629525804,2.0433695864164334
8,0.37036341578247534,1.8226452000495865
9,0.40719647442181134,2.2782181636019576
10,0.23083811105528304,1.6288611639064126
11,0.3090201307489841,1.3393115622595995
12,0.10126000791292189,1.9173507735424022
13,0.536908453803033,1.9223303856656675
14,0.660680672581439,2.204058391023444
15,0.4465544376543193,2.4543025557171623
16,0.37518134720925606,1.9140244819875774
17,0.36331293162711553,1.9788724091309853
18,0.8515943966585788,1.8123482786238347
19,0.2992291219229943,1.64447288218006
20,0.4160883716240116,1.5790620046793247
