run,best,mean
1,-7.442397961416571e-05,-2.1831999722229045
2,-2.7504067428701213e-05,-0.8625007703112852
3,-0.00020069623126246224,-1.349654410004481
4,-2.7728372055737516e-05,-1.6331662664099822
5,-4.622530217224744e-05,-2.173608968776782
6,-5.785461970252161e-05,-1.911246967001747
7,-1.055571662085299e-05,-1.676277530129589
8,-1.1480973207411962e-05,-1.7050198833286383
9,-7.186951040170088e-06,-1.8847741589201426
10,-8.26179649694941e-05,-1.4618899094881013
11,-1.3724782418772391e-05,-2.177216788337552
12,-4.876818421966779e-05,-2.579406721932434
13,-5.1007034315131176e-05,-1.8297505377201264
14,-6.556571114668949e-06,-1.035857221124752
15,-4.038460804860212e-05,-2.026261437454462
16,-1.421325533532988e-05,-2.321052166556973
17,-2.2710318966497997e-05,-2.062382310775513
18,-1.655243216023145e-05,-1.2458284726367752
19,-1.5489655474946168e-05,-2.3531466995830033
20,-1.1564324501644923e-05,-1.304027506136003
