Run,Fitness,Time (s),Solution
1,6.499048132098657,4.4360,"[1.562855246393176, 0.013008216920600724, -0.6702855704160342, 0.00217439403071662, -1.4123261438457018, 0.08121552441043445, -0.2893469951400389, -1.220521701978317, -0.11791319208673201, 0.13607128960639692]"
2,3.4026290188414805,4.6239,"[-0.1044853552654672, 0.9791258173051247, 0.4435382350024035, 0.47848112854864944, -0.13393504283937752, 1.0333712262819388, -0.07312830450671814, 0.8889456859259486, -0.15590786672871992, 0.3188729772413428]"
3,6.343041513693259,4.5227,"[-0.3489330210344015, -0.8177628918677664, 0.03742246568653673, -0.796476718724966, -1.1285105019416957, 0.3164315523647492, -0.9477687665463757, -0.9128258730001297, -0.7997573834028886, -1.0825811964507785]"
4,2.9805200158419627,4.4518,"[-0.3049110787283231, -0.018119950255968575, -1.3369471507808743, -0.17749921798109458, 0.3492381991439757, 0.17452373141274613, -0.592999214166368, -0.10730825277902856, 0.05809828261018879, -0.7411631863646422]"
5,8.2906272483465,4.5824,"[-0.05596203584316939, -0.0015640378115682196, 1.9390635609707711, -0.7815992858832237, -0.05451243982269194, -0.9713437755109826, 0.9901885237771895, -1.2847616940436861, 0.5822416858038775, -0.007515010948265122]"
6,3.177282304521369,4.4790,"[0.5636258211198513, 0.020866553242136376, -0.31284570957725233, -0.020179902495594426, 0.7932723485744368, 0.7689343943358944, 1.0364230073776808, 0.6766180161896989, 0.07999481197213765, -0.044365267679349785]"
7,3.558882453136783,4.4881,"[0.915496181458904, 0.24517246377917346, 0.8154740560459599, -0.13965713239389377, 0.217782728444889, 0.5623288141541609, -1.0139161217965835, -0.43323847380427427, -0.483135094719656, 0.4041702588673317]"
8,3.893427206476231,4.6098,"[-0.5833098091873872, -0.3944045593609573, -1.2585926711476985, 0.86598103318049, -0.11463252740880936, 0.5353205514568442, -0.020561375132562176, -0.6534244798620596, 0.46993614148057183, -0.34015915038414324]"
9,7.4227303887491765,4.4925,"[0.7227762052627966, 0.22380999610897945, -0.9757688580998085, 0.5062523365199016, 0.2081696179933017, -0.11158074631306736, -2.227075401881423, -0.45574535938537153, -0.644726903739195, 0.05283396022003384]"
10,3.6419672755424113,4.4920,"[0.16109589459148133, 1.7682401141366126, 0.27691098717489027, 0.50686269273905, -0.023842039810484827, -0.023994628865271928, -0.3033851881804521, -0.009651257715284522, 0.22365740705419235, -0.11158074631306736]"
