run,best,mean
1,-38.83349430294188,-38.85631909873287
2,-32.00683517006857,-32.02691487574029
3,-18.99140977940697,-19.185960573678322
4,-16.814470124410832,-17.419681685370957
5,-37.27161378101541,-37.644970063994904
6,-23.27892024256543,-23.532370770060474
7,-26.8721611787288,-26.87216117872879
8,-32.387216763165135,-32.38721676316515
9,-27.6420429715248,-27.74867522569009
10,-20.53218533611402,-26.475365121756955
11,-19.736772027182802,-20.587778306357553
12,-36.09314703112568,-36.68546657243638
13,-26.076302668982002,-27.4700238245333
14,-37.497899436009504,-37.497899436009504
15,-39.28444488573294,-39.29283045169922
16,-22.765088946539105,-28.76056103981329
17,-29.125967456967494,-29.172886889433077
18,-24.27186711269482,-24.36936275821139
19,-29.16194682342132,-29.161946823421317
20,-29.57012650344354,-29.78278150821956
