run,best,mean
1,-0.0005014444855580377,-3.3032989951457488
2,-0.0003577972083988868,-2.0076284331520022
3,-0.00034295266714573595,-2.5948489032337316
4,-0.0001969484747855843,-2.3663394596476883
5,-9.589981250718856e-05,-2.315457282545997
6,-2.34896631043487e-05,-1.2236798493986007
7,-7.878990896200472e-05,-1.608924499893604
8,-0.00018725340319312344,-3.0437282340706933
9,-0.00012399225042762082,-1.0295934945553764
10,-0.0001761100790214316,-2.7168789677359313
11,-0.0013631505740164514,-1.7108516897836674
12,-0.0001328129917391211,-1.382363273270277
13,-0.00019224742364374903,-2.5049864725384494
14,-0.00013283931320048407,-1.8576779440097602
15,-0.00016432149757653573,-2.4837260059570467
16,-0.0002547610850543165,-1.9001828536855434
17,-7.087229895069579e-05,-2.154375272018579
18,-0.0004510526200340581,-2.017549471595018
19,-0.00023719437064026848,-2.1308455901670356
20,-0.0005909374541037591,-1.9994594162295076
