run,best,mean
1,-40.30560009442497,-40.30560009442495
2,-28.555113131951362,-30.557830848606397
3,-16.60710537933819,-19.961672376165744
4,-17.674060244516024,-18.743864076635045
5,-35.04145644104908,-36.986934854627634
6,-34.57618391645896,-34.878670171370025
7,-33.263246112738145,-34.05602244421803
8,-27.55991354432182,-27.766638813645905
9,-36.18263885812112,-37.64218249066124
10,-24.751926913337922,-25.606012719586385
11,-14.696183420565443,-15.910738985635666
12,-5.12024635499747,-7.607504094604875
13,-36.50896826224489,-37.46976034814087
14,-26.164291087538935,-26.80351641761652
15,-24.49440010760007,-30.402611770949974
16,-35.40119648495599,-35.42273953126043
17,-26.322016168648936,-29.13834949878695
18,-37.646868079710245,-39.99350197303316
19,-24.00906428371017,-24.274010698196435
20,-41.99214448156254,-41.99214448156255
