Epoch,Best,Avg,Std
1,9115.23984607708,19612.614129239886,6193.499245985249
2,9115.23984607708,19368.058441940928,6273.706691279501
3,9115.23984607708,20201.181697626704,6798.276894700381
4,9115.23984607708,21502.680511107374,7670.783730169867
5,9115.23984607708,21977.47489210825,9144.422662381285
6,9115.23984607708,22144.54624745044,9020.37771423503
7,9115.23984607708,22051.186462640817,8767.937926811412
8,9115.23984607708,22371.52444706452,8865.2730037317
9,9115.23984607708,23454.204042645724,10012.866578203728
10,9115.23984607708,23913.14986652067,10219.619948816704
11,8864.492292127483,24110.832949096475,10585.692958391452
12,8864.492292127483,24091.208695375604,10355.553460617895
13,8864.492292127483,25394.71436070317,11737.379570592664
14,8864.492292127483,25774.39283564401,11644.488802808564
15,8155.980310369871,25731.15167963478,11758.02296117791
16,8155.980310369871,26554.18820269915,12317.470964727278
17,8155.980310369871,26653.79993597626,12730.2608216109
18,8155.980310369871,28117.445115740764,13332.64578464183
19,8155.980310369871,29113.98867386047,12963.533414668878
20,8155.980310369871,31454.55416924957,13205.2030504759
21,8155.980310369871,30475.30391764521,12716.014506602738
22,8155.980310369871,30579.876168954303,13645.294351232484
23,8155.980310369871,29912.659197129004,14142.043427325507
24,8155.980310369871,31470.727812700545,15039.890474862785
25,8155.980310369871,31528.958542007964,15121.177053337968
26,8155.980310369871,32974.11979821736,16251.194768603586
27,8155.980310369871,34934.65990540793,17519.122717363705
28,8155.980310369871,39016.23440098255,18708.571274047885
29,8155.980310369871,38577.26424352189,17472.76045007803
30,8155.980310369871,38524.62510781749,18511.62201923644
31,8155.980310369871,40791.27654179826,20256.906681285654
32,8155.980310369871,41017.67966999126,20294.82532125698
33,8155.980310369871,43128.031446293004,20164.177301127038
34,8155.980310369871,41930.76283120466,20983.053475707067
35,8155.980310369871,39805.757449770324,20661.932700021407
36,8155.980310369871,42926.58407952031,21471.861938619837
37,8155.980310369871,45835.81456494132,22840.79332299347
38,8155.980310369871,47012.06112556096,23037.28163938185
39,8155.980310369871,47839.53263842269,23556.02897127104
40,8155.980310369871,49337.44919971522,24481.74664464991
41,8155.980310369871,51875.52066909992,25075.744465630323
42,8155.980310369871,51783.63651925182,23565.39556154394
43,8155.980310369871,51772.94999547523,25172.003048424398
44,8155.980310369871,52891.416417084045,25602.510704357934
45,8155.980310369871,51383.044071805605,24819.431141312118
46,8155.980310369871,53456.840348272744,25477.519132179397
47,8155.980310369871,52548.841973575574,26172.069971862336
48,8155.980310369871,52433.46984960867,27612.115197828443
49,8155.980310369871,57224.10486225285,26517.525457273332
50,8155.980310369871,58254.206325431376,27802.838941102647
51,8155.980310369871,58404.78800576441,26772.281286637797
52,8155.980310369871,57559.49487513656,26751.050270753072
53,8155.980310369871,55339.94537079065,28149.881011029043
54,8155.980310369871,58705.555598634935,27835.967993864597
55,8155.980310369871,60441.76364819496,27544.356605312092
56,8155.980310369871,61834.05120015252,27376.487526883906
57,8155.980310369871,60400.60769447744,26967.539391777667
58,8155.980310369871,56512.64412039921,27249.527848918042
59,8155.980310369871,56503.32635389883,27910.320503919447
60,8155.980310369871,55340.63614285392,29156.816138641654
61,8155.980310369871,57408.41701508198,27223.73582799238
62,8155.980310369871,55941.33924162864,28687.95362323776
63,8155.980310369871,56323.494059346005,28955.687845803248
64,8155.980310369871,58619.96853114511,29074.086209207147
65,8155.980310369871,57722.50357543023,29345.34890003781
66,8155.980310369871,60350.2822859527,28174.137243023495
67,8155.980310369871,60650.333714341876,28522.607560560115
68,8155.980310369871,61830.07604124762,29430.1052141433
69,8147.998380056524,63014.79454286154,31125.850601888476
70,8147.998380056524,67502.22302989836,31429.942799012304
71,8147.998380056524,65010.89579752792,32729.08683933829
72,8147.998380056524,66787.6371222075,31779.798077981388
73,8147.998380056524,68349.80327117715,33331.69369226787
74,8147.998380056524,68045.733222384,33467.83956629877
75,8147.998380056524,69010.17204129665,33174.49434934811
76,8147.998380056524,65035.028606175874,31560.02503284282
77,8147.998380056524,66908.14606622086,31654.62769873289
78,8147.998380056524,63357.37047929721,30790.298350783705
79,8147.998380056524,64793.468853520804,29397.064775142502
80,8147.998380056524,63152.10734624748,29778.608784959364
81,8147.998380056524,64304.68815655884,29717.924714002922
82,8147.998380056524,63293.87813838493,29284.844338998784
83,8147.998380056524,61402.08848901254,30924.180578790714
84,8147.998380056524,63246.13819188552,30019.014168544083
85,8147.998380056524,63348.81303536638,30278.09580095681
86,8147.998380056524,65404.52321852125,29410.385207369472
87,8147.998380056524,65591.2831664005,29697.187073440782
88,8147.998380056524,62389.911083178,30439.139243960803
89,8147.998380056524,63778.22704862232,30275.230312950112
90,8147.998380056524,65887.12141208096,29659.079425628133
91,8147.998380056524,62738.967790398725,30033.280991499796
92,8147.998380056524,62207.84311839064,30521.145084259948
93,8147.998380056524,64025.719875662595,30068.084455856606
94,8147.998380056524,66557.13775830103,30235.846956389134
95,8147.998380056524,64376.09504135594,30423.466877579925
