run,best,mean
1,0.07742858103989038,0.9819502694725274
2,0.07078964598909264,0.8006020738588367
3,0.11942124014299538,0.7283321981298962
4,0.07269489061612026,0.5812684201061439
5,0.07277930913556083,0.5920995968549794
6,0.032417518749227145,0.5603937319874449
7,0.03850474558921751,0.9464921064140418
8,0.08050098070132913,0.40542672679404806
9,0.03859587309815782,0.6644514417338928
10,0.04229816383880375,0.71412591492989
11,0.07954594815878788,0.8417883687703412
12,0.04460679152053756,0.9509824659910964
13,0.04862347827445448,0.6388659936515428
14,0.058843696642714355,0.5568304561052327
15,0.0849446420899914,0.9240659961727863
16,0.054940126001515974,0.7758025358506343
17,0.0717750228164012,0.8286923836545874
18,0.08197691201751606,0.8453207201865343
19,0.04842019583439931,0.8788705075363324
20,0.02315423974654729,0.7787301260206648
