run,best,mean
1,-24.823914399581074,-26.682527747853772
2,-42.195341462605164,-46.546452082249516
3,-28.950895047008977,-29.080246045183905
4,-24.977327482682366,-25.01602843620362
5,-29.137253059509597,-29.300041793338565
6,-27.245548831674274,-29.130535820060953
7,-34.8834589511248,-35.23307708331786
8,-11.261887810912018,-16.984850393291442
9,-23.097212141086818,-25.200061039627684
10,-22.410406441728128,-22.652169870212116
11,-26.245482126607158,-26.24548212660717
12,-40.07993096301432,-40.125690716886126
13,-18.576075840171782,-19.147407219071567
14,-34.523621323261,-41.53307494218268
15,-40.77387795426085,-41.06701306361712
16,-28.133195748152406,-28.2763989433337
17,-40.98632549654188,-40.98632549654189
18,-34.21561348213608,-35.01214479745473
19,-31.52281628270388,-31.89047694117405
20,-31.504057272848602,-31.504057272848602
