run,best,mean
1,-8.733713595789493e-05,-2.4664591708094994
2,-5.699211500565512e-05,-1.5678050217044313
3,-0.0001249129293687284,-2.1786675473948254
4,-0.0006172636838214654,-2.2691344492769727
5,-4.745745173917243e-05,-1.739948187520398
6,-8.67918239436782e-05,-3.7567186887463784
7,-3.7063907745161963e-05,-1.6930928458227195
8,-8.027382902868478e-05,-1.605492857631387
9,-9.657215418263973e-05,-2.5937722674851194
10,-0.00165729195078117,-2.2702799438890136
11,-0.0001498849389741399,-2.495122663784856
12,-7.912693810823966e-05,-1.993849023452237
13,-0.0004260130901582469,-2.1247925566016264
14,-0.00010351701453584116,-2.454274686587687
15,-0.0005277819686540846,-2.104228693292102
16,-4.009049432844822e-05,-1.0046645955812963
17,-7.493462550087843e-06,-1.5707516877404732
18,-3.1504166611008846e-05,-2.3567538742415324
19,-0.0005382128967526193,-2.1913989269485303
20,-0.00017318648946077115,-2.1844386089517447
