run,best,mean
1,0.0002036793548851894,0.9594959869686647
2,0.0001563757859873333,0.8467472087664799
3,0.00013438603957239252,0.8167978951006414
4,0.0001980794819825044,1.216623650454302
5,4.029285929595286e-05,0.7103972773144358
6,0.001160613524740165,1.1298802655194773
7,7.740735475113148e-05,0.8094858847781846
8,0.00015282083048239178,0.9912144011132691
9,8.34418456096497e-05,0.7817121658214613
10,8.233853371191476e-05,0.7711994616274142
11,0.00010799968726830987,1.135865283491062
12,9.790018519672802e-05,0.749961686415997
13,0.00012488540365479032,1.0783516708067988
14,0.0001385780834109685,0.8575828206552241
15,0.00014219606899861802,0.8606280856734094
16,0.00017151845591825842,0.5723335930358883
17,0.0001276633291321066,0.8786891173085452
18,6.815046137607788e-05,0.7899934454501151
19,0.0001737962806806928,0.7511408111616928
20,5.701361395672142e-05,0.9623930943990862
